"id_establecimiento","id_partido","votos","votos_paso","votos_pv","dif_paso","dif_pv"
130,"0135",1342,944,1263,398,79
131,"0131",1287,449,488,838,799
131,"0135",525,691,819,-166,-294
132,"0131",990,598,715,392,275
132,"0135",1610,1094,1154,516,456
133,"0131",614,221,255,393,359
133,"0135",426,428,488,-2,-62
134,"0131",767,411,468,356,299
134,"0135",1008,740,793,268,215
135,"0131",765,284,348,481,417
135,"0135",495,509,567,-14,-72
136,"0131",698,236,270,462,428
136,"0135",339,399,461,-60,-122
137,"0131",1165,564,628,601,537
137,"0135",1086,884,971,202,115
138,"0131",1306,845,934,461,372
138,"0135",2024,1375,1474,649,550
139,"0131",1744,967,1052,777,692
139,"0135",2141,1633,1757,508,384
140,"0131",1034,630,716,404,318
140,"0135",1366,903,1015,463,351
141,"0131",1238,602,678,636,560
141,"0135",947,762,889,185,58
142,"0131",1270,579,649,691,621
142,"0135",900,796,901,104,-1
143,"0131",1214,624,685,590,529
143,"0135",1176,932,1027,244,149
144,"0131",2298,922,1009,1376,1289
144,"0135",1135,1283,1429,-148,-294
145,"0131",907,343,365,564,542
145,"0135",399,473,536,-74,-137
146,"0131",1493,772,846,721,647
146,"0135",1452,1150,1289,302,163
147,"0131",856,467,505,389,351
147,"0135",972,732,787,240,185
148,"0131",480,525,562,-45,-82
148,"0135",1615,809,927,806,688
149,"0131",1433,758,803,675,630
149,"0135",1441,1122,1233,319,208
150,"0131",1270,657,763,613,507
150,"0135",1392,1073,1168,319,224
151,"0131",1692,963,997,729,695
151,"0135",1732,1486,1472,246,260
152,"0131",1767,894,1052,873,715
152,"0135",2011,1495,1637,516,374
153,"0131",1543,584,651,959,892
153,"0135",585,815,867,-230,-282
154,"0131",1457,770,832,687,625
154,"0135",1588,1190,1309,398,279
155,"0131",655,271,298,384,357
155,"0135",415,398,458,17,-43
156,"0131",1252,877,935,375,317
156,"0135",2048,1296,1429,752,619
157,"0131",902,678,687,224,215
157,"0135",1227,904,900,323,327
158,"0131",690,420,449,270,241
158,"0135",664,491,561,173,103
159,"0131",1056,470,505,586,551
159,"0135",529,622,703,-93,-174
160,"0131",880,572,577,308,303
160,"0135",1112,775,842,337,270
161,"0131",932,360,476,572,456
161,"0135",638,624,692,14,-54
162,"0131",851,356,415,495,436
162,"0135",460,505,549,-45,-89
163,"0131",1750,1580,1884,170,-134
163,"0135",1678,656,749,1022,929
164,"0131",1884,1731,1998,153,-114
164,"0135",1826,781,838,1045,988
165,"0131",1547,1560,1867,-13,-320
165,"0135",1789,674,714,1115,1075
166,"0131",1142,651,746,491,396
166,"0135",1342,1084,1170,258,172
167,"0131",1018,372,408,646,610
167,"0135",629,601,613,28,16
168,"0131",267,265,282,2,-15
168,"0135",743,435,469,308,274
169,"0131",737,298,392,439,345
169,"0135",754,694,753,60,1
170,"0131",889,438,514,451,375
170,"0135",1107,904,988,203,119
171,"0131",852,498,568,354,284
171,"0135",1218,891,962,327,256
172,"0131",1189,628,675,561,514
